Date,Voucher Type,Voucher Number,Account Code,Account Name,Parent Group,Group Path,Debit,Credit,Description
09/06/2025,Payment,AUTO-20260217-0006,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,4000.00,,Expense Voucher: EV-CR-20250609-4275 - Tulasi Ram Sai
09/06/2025,Payment,AUTO-20260217-0006,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,4000.00,Expense Voucher: EV-CR-20250609-4275 - Tulasi Ram Sai
11/06/2025,Payment,AUTO-20260217-0008,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250611-0565 - Santosh M
11/06/2025,Payment,AUTO-20260217-0008,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250611-0565 - Santosh M
12/06/2025,Payment,AUTO-20260217-0010,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,110.00,,Expense Voucher: EV-CR-20250612-4508 -  Tulasi Ram Sai
12/06/2025,Payment,AUTO-20260217-0010,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,110.00,Expense Voucher: EV-CR-20250612-4508 -  Tulasi Ram Sai
13/06/2025,Payment,AUTO-20260217-0011,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,5840.00,,Expense Voucher: EV-CR-20250613-3165 - RO Filters
13/06/2025,Payment,AUTO-20260217-0011,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,5840.00,Expense Voucher: EV-CR-20250613-3165 - RO Filters
13/06/2025,Payment,AUTO-20260217-0012,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,260.00,,Expense Voucher: EV-CR-20250613-6237 - Tulasi Ram Sai
13/06/2025,Payment,AUTO-20260217-0012,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,260.00,Expense Voucher: EV-CR-20250613-6237 - Tulasi Ram Sai
13/06/2025,Payment,AUTO-20260217-0013,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,2100.00,,Expense Voucher: EV-CR-20250613-9292 - Tulasi Ram Sai
13/06/2025,Payment,AUTO-20260217-0013,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,2100.00,Expense Voucher: EV-CR-20250613-9292 - Tulasi Ram Sai
14/06/2025,Payment,AUTO-20260217-0015,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250614-2628 - Ramu
14/06/2025,Payment,AUTO-20260217-0015,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250614-2628 - Ramu
16/06/2025,Payment,AUTO-20260217-0017,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,6000.00,,Expense Voucher: EV-CR-20250616-7790 - Santhosh M
16/06/2025,Payment,AUTO-20260217-0017,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,6000.00,Expense Voucher: EV-CR-20250616-7790 - Santhosh M
16/06/2025,Payment,AUTO-20260217-0018,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,500.00,,Expense Voucher: EV-CR-20250616-8725 - Santosh M
16/06/2025,Payment,AUTO-20260217-0018,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,500.00,Expense Voucher: EV-CR-20250616-8725 - Santosh M
17/06/2025,Payment,AUTO-20260217-0020,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,8400.00,,Expense Voucher: EV-CR-20250617-9251 - Milk Vendor
17/06/2025,Payment,AUTO-20260217-0020,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,8400.00,Expense Voucher: EV-CR-20250617-9251 - Milk Vendor
17/06/2025,Payment,AUTO-20260217-0021,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,200.00,,Expense Voucher: EV-CR-20250617-8100 - Naveen
